ticker,stress_oos_mean_return,stress_oos_max_dd,base_oos_mean_return,edge_decay,has_overfitting_warning,buy_threshold,total_oos_trades,windows,counter_trend_multiplier
PETKM.IS,4.5829,-8.5271,4.9771,0.3942,False,18.0,10,7,0.0
TUPRS.IS,2.5886,-8.94,3.2157,0.6271,False,18.0,17,7,0.0
