ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,buy_threshold,total_oos_trades,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,3.6157,3.3071,0.3086,-6.0229,1.79,False,False,True,20.0,8,0.0,ON,753,325,417,230,230,15.0,True
ARCLK.IS,OK,7,0.2143,-0.05,0.2643,-5.6029,-4.8957,False,False,False,20.0,7,0.0,ON,753,410,331,204,204,15.0,True
ASELS.IS,OK,7,13.7043,13.1957,0.5086,-6.9271,70.4471,True,True,False,20.0,12,0.0,ON,753,289,451,87,87,15.0,True
ASTOR.IS,OK,7,5.6457,5.0157,0.63,-10.3171,-14.8871,False,False,False,20.0,16,0.0,ON,753,304,439,174,174,15.0,True
BIMAS.IS,OK,8,-1.4962,-1.9788,0.4826,-9.3313,2.595,True,True,False,20.0,15,0.0,ON,756,336,411,139,139,15.0,True
EKGYO.IS,OK,7,-2.59,-2.9914,0.4014,-11.6671,3.1657,True,True,False,20.0,12,0.0,ON,753,273,470,278,278,15.0,True
ENKAI.IS,OK,7,1.34,0.93,0.41,-10.3629,4.4443,True,True,False,20.0,11,0.0,ON,753,329,415,145,145,15.0,True
EREGL.IS,OK,7,-2.82,-3.1829,0.3629,-10.1043,8.6943,True,True,False,20.0,10,0.0,ON,754,333,409,180,180,15.0,True
FROTO.IS,OK,7,-1.3314,-1.7671,0.4357,-7.4886,-10.0443,False,False,False,20.0,12,0.0,ON,754,415,330,178,178,15.0,True
GARAN.IS,OK,7,5.1343,4.6757,0.4586,-6.4957,13.5971,True,True,False,20.0,12,0.0,ON,753,332,412,210,210,15.0,True
GUBRF.IS,OK,7,4.8414,4.3671,0.4743,-7.71,29.5743,True,True,False,20.0,12,0.0,ON,753,326,413,190,190,15.0,True
HEKTS.IS,OK,7,-7.5771,-7.9486,0.3715,-17.2943,-43.4171,False,False,False,20.0,11,0.0,ON,753,454,287,142,142,15.0,True
ISCTR.IS,OK,7,2.4771,2.0643,0.4128,-8.8229,22.7286,True,True,False,20.0,11,0.0,ON,753,311,432,193,193,15.0,True
KCHOL.IS,OK,7,-2.3686,-2.8214,0.4528,-9.6614,3.5043,True,True,False,20.0,13,0.0,ON,753,320,422,209,209,15.0,True
KONTR.IS,OK,7,-16.5657,-17.0629,0.4972,-23.3,-24.8757,False,False,False,20.0,16,0.0,ON,754,406,339,159,159,15.0,True
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,20.0,0,0.0,ON,0,0,0,0,0,15.0,True
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,20.0,0,0.0,ON,0,0,0,0,0,15.0,True
KRDMD.IS,OK,7,2.0314,1.5857,0.4457,-12.54,9.4457,True,True,False,20.0,12,0.0,ON,753,300,440,193,193,15.0,True
ODAS.IS,OK,7,-5.2986,-5.7543,0.4557,-11.0486,-18.4943,False,False,False,20.0,13,0.0,ON,753,357,385,156,156,15.0,True
OYAKC.IS,OK,7,1.1543,0.6443,0.51,-11.1471,19.5157,True,True,False,20.0,14,0.0,ON,754,328,415,195,195,15.0,True
PETKM.IS,OK,7,6.1514,5.8271,0.3243,-7.4243,-6.63,False,False,True,20.0,8,0.0,ON,753,357,384,198,198,15.0,True
PGSUS.IS,OK,7,-0.2757,-0.6671,0.3914,-7.8057,-3.7729,False,False,False,20.0,11,0.0,ON,754,380,366,175,175,15.0,True
SAHOL.IS,OK,7,0.9814,0.5257,0.4557,-8.3971,17.8029,True,True,False,20.0,12,0.0,ON,753,373,370,250,250,15.0,True
SASA.IS,OK,7,-3.4557,-3.9471,0.4914,-11.1543,-21.5129,False,False,False,20.0,14,0.0,ON,754,486,246,204,204,15.0,True
SISE.IS,OK,7,0.6343,0.1529,0.4814,-8.1343,-7.4843,False,False,True,20.0,13,0.0,ON,753,348,398,163,163,15.0,True
TAVHL.IS,OK,7,-5.2886,-5.73,0.4414,-11.4643,28.33,True,True,False,20.0,13,0.0,ON,753,330,410,231,231,15.0,True
TCELL.IS,OK,7,1.09,0.9357,0.1543,-3.0986,10.8429,True,True,False,20.0,4,0.0,ON,753,342,400,221,221,15.0,True
THYAO.IS,OK,7,-0.74,-1.2171,0.4771,-8.4186,-4.3286,False,False,False,20.0,13,0.0,ON,753,364,379,226,226,15.0,True
TOASO.IS,OK,7,1.54,1.1657,0.3743,-7.2029,13.5843,True,True,False,20.0,10,0.0,ON,753,358,387,234,234,15.0,True
TUPRS.IS,OK,7,4.3886,3.79,0.5986,-8.1957,1.4529,False,False,True,20.0,16,0.0,ON,753,329,411,204,204,15.0,True
