ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,obv_divergence_cap
AKBNK.IS,OK,7,3.8829,3.6043,0.2786,-4.36,17.2429,True,True,False,0.0,ON,753,325,417,20.0
ARCLK.IS,OK,7,-3.0886,-2.69,-0.3986,-3.7229,-9.5,False,False,False,0.0,ON,753,410,331,20.0
ASELS.IS,OK,7,8.9686,11.67,-2.7014,-7.2771,38.8629,True,True,False,0.0,ON,753,289,451,20.0
ASTOR.IS,OK,7,8.6286,5.8186,2.81,-8.5029,-6.1671,False,False,True,0.0,ON,753,304,439,20.0
BIMAS.IS,OK,8,-1.6838,-2.655,0.9712,-7.4537,3.1625,True,True,False,0.0,ON,756,336,411,20.0
EKGYO.IS,OK,7,4.2186,0.4886,3.73,-9.2714,-4.9843,False,True,True,0.0,ON,753,273,470,20.0
ENKAI.IS,OK,7,1.1557,0.5757,0.58,-9.6014,1.2314,True,True,False,0.0,ON,753,329,415,20.0
EREGL.IS,OK,7,0.6986,-1.5686,2.2672,-7.64,6.92,True,True,False,0.0,ON,754,333,409,20.0
FROTO.IS,OK,7,-3.8629,-2.3229,-1.54,-5.9443,-7.7186,False,True,False,0.0,ON,754,415,330,20.0
GARAN.IS,OK,7,1.32,1.8286,-0.5086,-7.6871,14.2014,True,True,False,0.0,ON,753,332,412,20.0
GUBRF.IS,OK,7,1.1843,0.7757,0.4086,-8.3929,-3.9586,False,True,True,0.0,ON,753,326,413,20.0
HEKTS.IS,OK,7,-4.43,-5.5043,1.0743,-16.5657,-17.9743,False,False,False,0.0,ON,753,454,287,20.0
ISCTR.IS,OK,7,1.1357,0.7186,0.4171,-7.8471,26.7743,True,True,False,0.0,ON,753,311,432,20.0
KCHOL.IS,OK,7,-1.9357,-2.7,0.7643,-7.5571,0.5714,True,True,False,0.0,ON,753,320,422,20.0
KONTR.IS,OK,7,-17.39,-14.0843,-3.3057,-17.9657,-19.9671,False,False,False,0.0,ON,754,406,339,20.0
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,20.0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,0.0,ON,0,0,0,20.0
KRDMD.IS,OK,7,0.84,0.7514,0.0886,-11.0871,-1.8914,False,True,False,0.0,ON,753,300,440,20.0
ODAS.IS,OK,7,-0.4786,0.5443,-1.0229,-6.5357,-21.0014,False,False,True,0.0,ON,753,357,385,20.0
OYAKC.IS,OK,7,-0.5914,-0.9671,0.3757,-8.0386,-2.8771,False,False,False,0.0,ON,754,328,415,20.0
PETKM.IS,OK,7,2.7814,2.6157,0.1657,-6.1657,-10.3229,False,False,True,0.0,ON,753,357,384,20.0
PGSUS.IS,OK,7,-6.8071,-5.0529,-1.7542,-7.2443,-12.5914,False,False,False,0.0,ON,754,380,366,20.0
SAHOL.IS,OK,7,-2.4129,-2.5143,0.1014,-7.6214,32.8129,True,True,False,0.0,ON,753,373,370,20.0
SASA.IS,OK,7,2.2257,-0.5143,2.74,-7.2157,-18.28,False,False,False,0.0,ON,754,486,246,20.0
SISE.IS,OK,7,2.6386,2.3529,0.2857,-6.5757,-2.3043,False,False,True,0.0,ON,753,348,398,20.0
TAVHL.IS,OK,7,3.6757,0.4443,3.2314,-6.8943,32.2043,True,True,False,0.0,ON,753,330,410,20.0
TCELL.IS,OK,7,0.29,-1.1014,1.3914,-4.0986,0.5471,True,False,False,0.0,ON,753,342,400,20.0
THYAO.IS,OK,7,-1.6457,-4.2057,2.56,-7.9143,-4.5971,False,False,False,0.0,ON,753,364,379,20.0
TOASO.IS,OK,7,2.7257,0.9743,1.7514,-6.9229,14.16,True,True,False,0.0,ON,753,358,387,20.0
TUPRS.IS,OK,7,5.3871,4.32,1.0671,-5.5371,15.7971,True,True,False,0.0,ON,753,329,411,20.0
