ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,buy_threshold,total_oos_trades,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,6.9843,6.3914,0.5929,-9.9914,20.1314,True,True,False,15.0,15,0.0,ON,753,325,417,230,230,15.0,True
ARCLK.IS,OK,7,-4.8557,-5.5643,0.7086,-13.1943,-17.3071,False,False,False,15.0,20,0.0,ON,753,410,331,204,204,15.0,True
ASELS.IS,OK,7,20.3643,19.4786,0.8857,-8.81,89.1014,True,True,False,15.0,20,0.0,ON,753,289,451,87,87,15.0,True
ASTOR.IS,OK,7,8.6614,7.8443,0.8171,-13.9771,-2.7557,False,False,False,15.0,21,0.0,ON,753,304,439,174,174,15.0,True
BIMAS.IS,OK,8,3.8438,3.2412,0.6026,-9.7325,8.6713,True,True,False,15.0,18,0.0,ON,756,336,411,139,139,15.0,True
EKGYO.IS,OK,7,2.3986,1.6271,0.7715,-14.8629,29.8257,True,True,False,15.0,21,0.0,ON,753,273,470,278,278,15.0,True
ENKAI.IS,OK,7,7.9471,7.3771,0.57,-10.2971,52.5257,True,True,False,15.0,14,0.0,ON,753,329,415,145,145,15.0,True
EREGL.IS,OK,7,4.7114,4.0186,0.6928,-10.65,9.0114,True,True,False,15.0,18,0.0,ON,754,333,409,180,180,15.0,True
FROTO.IS,OK,7,-2.31,-3.0243,0.7143,-10.75,-3.7914,False,False,False,15.0,20,0.0,ON,754,415,330,178,178,15.0,True
GARAN.IS,OK,7,8.42,7.6329,0.7871,-10.4857,46.01,True,True,False,15.0,20,0.0,ON,753,332,412,210,210,15.0,True
GUBRF.IS,OK,7,10.7386,9.99,0.7486,-11.5186,40.9586,True,True,False,15.0,18,0.0,ON,753,326,413,190,190,15.0,True
HEKTS.IS,OK,7,-3.8586,-4.4386,0.58,-18.9014,-44.5771,False,False,False,15.0,16,0.0,ON,753,454,287,142,142,15.0,True
ISCTR.IS,OK,7,3.2471,2.6257,0.6214,-12.3814,31.7571,True,True,False,15.0,17,0.0,ON,753,311,432,193,193,15.0,True
KCHOL.IS,OK,7,1.0686,0.3657,0.7029,-11.5171,9.5129,True,True,False,15.0,19,0.0,ON,753,320,422,209,209,15.0,True
KONTR.IS,OK,7,-9.3786,-10.1929,0.8143,-28.4086,-43.7657,False,False,False,15.0,24,0.0,ON,754,406,339,159,159,15.0,True
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,15.0,0,0.0,ON,0,0,0,0,0,15.0,True
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,15.0,0,0.0,ON,0,0,0,0,0,15.0,True
KRDMD.IS,OK,7,2.4943,1.6386,0.8557,-16.7829,5.4671,True,True,False,15.0,23,0.0,ON,753,300,440,193,193,15.0,True
ODAS.IS,OK,7,-4.0129,-4.5657,0.5528,-13.5929,-17.8671,False,False,False,15.0,16,0.0,ON,753,357,385,156,156,15.0,True
OYAKC.IS,OK,7,5.3714,4.6443,0.7271,-13.6129,22.6671,True,True,False,15.0,19,0.0,ON,754,328,415,195,195,15.0,True
PETKM.IS,OK,7,5.5571,4.9743,0.5828,-9.6457,-5.3514,False,False,True,15.0,15,0.0,ON,753,357,384,198,198,15.0,True
PGSUS.IS,OK,7,-4.0714,-4.7757,0.7043,-14.4271,3.1929,True,True,False,15.0,20,0.0,ON,754,380,366,175,175,15.0,True
SAHOL.IS,OK,7,4.6957,4.0029,0.6928,-9.49,21.9429,True,True,False,15.0,18,0.0,ON,753,373,370,250,250,15.0,True
SASA.IS,OK,7,-6.4486,-7.2314,0.7828,-19.5529,-17.65,False,False,False,15.0,23,0.0,ON,754,486,246,204,204,15.0,True
SISE.IS,OK,7,4.12,3.4114,0.7086,-10.0229,-4.26,False,False,False,15.0,19,0.0,ON,753,348,398,163,163,15.0,True
TAVHL.IS,OK,7,4.3086,3.6686,0.64,-10.5786,19.6814,True,True,False,15.0,17,0.0,ON,753,330,410,231,231,15.0,True
TCELL.IS,OK,7,1.0186,0.5686,0.45,-9.2014,19.4557,True,True,False,15.0,12,0.0,ON,753,342,400,221,221,15.0,True
THYAO.IS,OK,7,0.1986,-0.3814,0.58,-10.7271,-2.4529,False,False,False,15.0,16,0.0,ON,753,364,379,226,226,15.0,True
TOASO.IS,OK,7,5.4029,4.7243,0.6786,-10.8857,9.7043,True,True,False,15.0,18,0.0,ON,753,358,387,234,234,15.0,True
TUPRS.IS,OK,7,4.9886,4.2429,0.7457,-9.1386,15.4214,True,True,False,15.0,20,0.0,ON,753,329,411,204,204,15.0,True
