ticker,status,windows,base_oos_mean_return,stress_oos_mean_return,edge_decay,stress_oos_max_dd,stress_is_mean_return,has_overfitting_warning,base_has_overfitting_warning,robust,buy_threshold,total_oos_trades,counter_trend_multiplier,gates,obv_trend_notnull,h4_long_fired,h4_short_fired,h6_confluence_total,h6_confluence_neutralized,obv_divergence_cap,mtf_confluence_block_enabled
AKBNK.IS,OK,7,2.94,2.67,0.27,-5.84,4.7557,False,True,True,22.0,7,0.0,ON,753,325,417,230,230,15.0,True
ARCLK.IS,OK,7,0.29,0.0671,0.2229,-4.9657,-4.33,False,False,True,22.0,6,0.0,ON,753,410,331,204,204,15.0,True
ASELS.IS,OK,7,11.6971,11.2729,0.4242,-6.5829,51.7986,True,True,False,22.0,10,0.0,ON,753,289,451,87,87,15.0,True
ASTOR.IS,OK,7,2.3671,1.8657,0.5014,-9.0986,-20.9386,False,False,True,22.0,13,0.0,ON,753,304,439,174,174,15.0,True
BIMAS.IS,OK,8,-1.63,-2.0525,0.4225,-7.9,3.575,True,True,False,22.0,13,0.0,ON,756,336,411,139,139,15.0,True
EKGYO.IS,OK,7,-1.8957,-2.2343,0.3386,-10.8171,-6.6543,False,False,False,22.0,10,0.0,ON,753,273,470,278,278,15.0,True
ENKAI.IS,OK,7,1.34,0.93,0.41,-10.3629,15.3357,True,True,False,22.0,11,0.0,ON,753,329,415,145,145,15.0,True
EREGL.IS,OK,7,-2.6343,-2.9971,0.3628,-9.6971,-5.1886,False,False,False,22.0,10,0.0,ON,754,333,409,180,180,15.0,True
FROTO.IS,OK,7,-1.5957,-2.03,0.4343,-7.0629,-10.2214,False,False,False,22.0,12,0.0,ON,754,415,330,178,178,15.0,True
GARAN.IS,OK,7,5.3443,5.0057,0.3386,-6.0357,20.7057,True,True,False,22.0,9,0.0,ON,753,332,412,210,210,15.0,True
GUBRF.IS,OK,7,4.8314,4.3571,0.4743,-7.5357,29.97,True,True,False,22.0,12,0.0,ON,753,326,413,190,190,15.0,True
HEKTS.IS,OK,7,-6.0929,-6.4371,0.3442,-15.4443,-43.4171,False,False,False,22.0,10,0.0,ON,753,454,287,142,142,15.0,True
ISCTR.IS,OK,7,0.7686,0.3986,0.37,-8.8629,19.2457,True,True,False,22.0,10,0.0,ON,753,311,432,193,193,15.0,True
KCHOL.IS,OK,7,-2.3686,-2.8214,0.4528,-9.6614,-5.9029,False,False,False,22.0,13,0.0,ON,753,320,422,209,209,15.0,True
KONTR.IS,OK,7,-16.5271,-16.94,0.4129,-20.9286,-25.3814,False,False,False,22.0,14,0.0,ON,754,406,339,159,159,15.0,True
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,22.0,0,0.0,ON,0,0,0,0,0,15.0,True
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,False,False,22.0,0,0.0,ON,0,0,0,0,0,15.0,True
KRDMD.IS,OK,7,2.3471,1.9414,0.4057,-10.5029,4.7629,True,True,False,22.0,11,0.0,ON,753,300,440,193,193,15.0,True
ODAS.IS,OK,7,-1.4271,-1.83,0.4029,-8.9029,-24.6514,False,False,False,22.0,11,0.0,ON,753,357,385,156,156,15.0,True
OYAKC.IS,OK,7,1.5329,1.1314,0.4015,-7.8557,23.6871,True,True,False,22.0,11,0.0,ON,754,328,415,195,195,15.0,True
PETKM.IS,OK,7,6.1514,5.8271,0.3243,-7.4243,-6.63,False,False,True,22.0,8,0.0,ON,753,357,384,198,198,15.0,True
PGSUS.IS,OK,7,-2.0143,-2.3586,0.3443,-7.77,-4.6757,False,False,False,22.0,10,0.0,ON,754,380,366,175,175,15.0,True
SAHOL.IS,OK,7,0.9814,0.5257,0.4557,-8.3971,28.9057,True,True,False,22.0,12,0.0,ON,753,373,370,250,250,15.0,True
SASA.IS,OK,7,-3.8786,-4.2571,0.3785,-10.0014,-22.4214,False,False,False,22.0,11,0.0,ON,754,486,246,204,204,15.0,True
SISE.IS,OK,7,0.9171,0.4343,0.4828,-8.1343,-2.5614,False,False,True,22.0,13,0.0,ON,753,348,398,163,163,15.0,True
TAVHL.IS,OK,7,-5.2886,-5.73,0.4414,-11.4643,18.3529,True,True,False,22.0,13,0.0,ON,753,330,410,231,231,15.0,True
TCELL.IS,OK,7,0.4114,0.26,0.1514,-2.6957,8.3043,True,True,False,22.0,4,0.0,ON,753,342,400,221,221,15.0,True
THYAO.IS,OK,7,-0.1357,-0.5814,0.4457,-8.0157,-6.2086,False,False,False,22.0,12,0.0,ON,753,364,379,226,226,15.0,True
TOASO.IS,OK,7,2.24,1.9371,0.3029,-5.27,5.7471,True,True,False,22.0,8,0.0,ON,753,358,387,234,234,15.0,True
TUPRS.IS,OK,7,5.71,5.2029,0.5071,-7.2029,8.39,False,False,True,22.0,13,0.0,ON,753,329,411,204,204,15.0,True
