ticker,entry_time,entry_price,exit_time,exit_price,score,agreement_ratio,pnl_pct,pnl_tl,hit,reasons
PETKM.IS,2026-07-28T08:03:06.696852+00:00,20.040000915527344,2026-07-28T09:48:57.212320+00:00,19.690000534057617,15.0,0.75,-1.746509,-1571.85,stop,"RSI düşük (26.5) -> Aşırı satım bölgesi | Stochastic Bearish Cross (K:34, D:35) | CCI aşırı satım (-102) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:52, -DI>7) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Bollinger %B düşük (0.18) | Fiyat desteğe yakın (%1.4) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.4 | Stop: ATR | Hedef: Direnç | Pozisyon: 4491 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.72"
PETKM.IS,2026-07-28T08:03:06.696852+00:00,20.040000915527344,2026-07-28T10:04:07.143200+00:00,19.639999389648438,15.0,0.75,-1.996016,-1796.41,stop,"RSI düşük (26.5) -> Aşırı satım bölgesi | Stochastic Bearish Cross (K:34, D:35) | CCI aşırı satım (-102) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:52, -DI>7) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Bollinger %B düşük (0.18) | Fiyat desteğe yakın (%1.4) | Hacim divergence (OBV düşüş / fiyat-hacim ayı) → uzun skor 15'e bastırıldı | R/R: 1:1.4 | Stop: ATR | Hedef: Direnç | Pozisyon: 4491 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.72"
ASTOR.IS,2026-07-28T10:04:06.557368+00:00,294.25,2026-07-28T11:32:54.163884+00:00,289.0,10.0,0.5,-1.784197,-1601.25,stop,"RSI yüksek-nötr (60.2) | Stochastic Bearish Cross (K:89, D:93) | Stochastic aşırı alım bölgesi (K:89) | Stochastic düşüş eğilimi | CCI aşırı alım (112) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend yukarı | MACD Histogram güçleniyor (1.00) | Güçlü yükseliş trendi (ADX:26, +DI>20) | Düşük hacimli geri çekilme | Hacim artıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat dirence yakın (%0.5) | Karşıt-trend bastırma uygulandı (trend yukarı, momentum x0) | Aşırı uzama chase koruması → uzun skor 10 ile sınırlandı | R/R: 1:2.0 | Stop: Swing | Hedef: ATR | Pozisyon: 305 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.84"
TUPRS.IS,2026-07-28T07:54:26.599545+00:00,297.25,2026-07-28T14:03:50.127375+00:00,289.25,10.0,0.5,-2.691337,-2416.0,stop,"RSI nötr (57.4) | Stochastic aşırı alım bölgesi (K:89) | CCI aşırı alım (162) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA Golden Cross ✨ → Yükseliş sinyali | MACD Histogram güçleniyor (0.77) | Güçlü yükseliş trendi (ADX:43, +DI>16) | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger %B yüksek (0.92) | Fiyat dirence yakın (%0.3) | Karşıt-trend bastırma uygulandı (trend yukarı, momentum x0) | Aşırı uzama chase koruması → uzun skor 10 ile sınırlandı | R/R: 1:6.6 | Stop: Swing | Hedef: Yüzdelik | Pozisyon: 302 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.61"
ODAS.IS,2026-07-28T07:54:27.093454+00:00,8.65999984741211,2026-07-29T10:23:29.656360+00:00,8.880000114440918,11.4,0.75,2.540419,2286.24,target,"RSI nötr (47.8) | Stochastic Bearish Cross (K:25, D:25) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Histogram güçleniyor (0.00) | Güçlü yükseliş trendi (ADX:30, +DI>15) | Düşük hacimli geri çekilme | Hacim artıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat desteğe yakın (%0.8) | R/R: 1:1.9 | Stop: Destek | Hedef: Direnç | Pozisyon: 10392 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.69"
PETKM.IS,2026-07-29T07:00:28.493004+00:00,20.15999984741211,2026-07-29T12:45:45.857594+00:00,19.860000610351562,10.0,0.5,-1.488091,-1339.2,stop,"RSI nötr (56.8) | CCI aşırı alım (153) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend yukarı | MACD Histogram güçleniyor (0.04) | Güçlü yükseliş trendi (ADX:26, +DI>20) | Hacim onayı (2.3x ort) | Hacim patlaması + yükseliş (2.3x) | Hacim artıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger %B yüksek (0.90) | Fiyat dirence yakın (%0.6) | Aşırı uzama chase koruması → uzun skor 10 ile sınırlandı | R/R: 1:1.5 | Stop: ATR | Hedef: ATR | Pozisyon: 4464 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.69"
ODAS.IS,2026-07-29T13:31:00.145233+00:00,8.850000381469727,2026-07-29T15:32:04.660892+00:00,8.84000015258789,24.0,0.75,-0.112997,-101.69,opposite_signal,"RSI nötr (51.0) | yükseliş trendi (EMA200 üzerinde + eğim pozitif) | SMA trend yukarı | MACD Histogram zayıflıyor (-0.01) | Güçlü yükseliş trendi (ADX:42, +DI>20) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%1.0) | R/R: 1:6.5 | Stop: ATR | Hedef: Yüzdelik | Pozisyon: 10169 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.62"
SISE.IS,2026-07-28T12:18:10.574031+00:00,42.68000030517578,2026-07-29T14:16:00+00:00,41.82,10.0,0.75,-2.014996,-803.24,opposite_signal,"RSI düşük-nötr (39.2) | Stochastic yükseliş eğilimi | CCI düşük (-79) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:29, -DI>13) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV düşüş trendi → Çıkış var | Bollinger Squeeze → Patlama bekleniyor ⚠️ | Fiyat desteğe yakın (%0.3) | Aşırı uzama chase koruması → uzun skor 10 ile sınırlandı | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 934 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.34"
GUBRF.IS,2026-07-28T14:18:55.136259+00:00,415.25,2026-07-29T14:16:00+00:00,403.5,11.0,0.5,-2.829621,-1116.25,opposite_signal,"RSI çok düşük (24.5) -> Aşırı satım, tepki alımı potansiyeli | Stochastic aşırı satım bölgesi (K:19) | Stochastic yükseliş eğilimi | CCI düşük (-98) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Histogram negatif (-0.32) | Zayıf düşüş trendi (ADX:24) | Hacim onayı (1.6x ort) | Hacim patlaması + yükseliş (1.6x) | Hacim artıyor 📊 | OBV düşüş trendi → Çıkış var | Bollinger %B düşük (0.20) | Fiyat desteğe yakın (%0.5) | Karşıt-trend bastırma uygulandı (trend aşağı, momentum x0) | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 95 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.48"
SISE.IS,2026-07-30T07:30:12.979831+00:00,41.79999923706055,2026-07-30T07:45:22.751460+00:00,41.560001373291016,15.1,1.0,-0.574158,-228.48,opposite_signal,"RSI nötr (41.7) | Stochastic yükseliş eğilimi | CCI düşük (-70) | düşüş teyiti (EMA200 altında + eğim negatif) | SMA trend aşağı | MACD Bullish Crossover 📈 | MACD Histogram güçleniyor (0.00) | Güçlü düşüş trendi (ADX:27, -DI>17) | Düşük hacimli geri çekilme | Hacim azalıyor 📊 | OBV yükseliş trendi → Akış var | Fiyat desteğe yakın (%0.5) | R/R: 1:1.6 | Stop: Yüzdelik | Hedef: Yüzdelik | Pozisyon: 952 lot | Risk Bütçesi: TL2000.00 | Volatilite throttle: x1.00 | ATR%: %0.38"
